Round,SIA_ASR(%),ESIA_ASR(%),Train_Acc(%),Test_Acc(%),SIA_Comm(KB),ESIA_Comm(KB)
0,85.33,84.33,66.06,65.91,6156.00,6156.00
1,83.00,81.67,67.54,67.11,6156.00,6156.00
